"time","anomaly"
1977-11-09,2.52396965895627
1977-11-16,-0.896578701485262
1977-11-23,-0.932306042467839
1977-11-30,-7.49656799716567
1977-12-07,13.4565691608984
1977-12-14,3.38682003929501
1977-12-21,0.196843397247124
1977-12-28,1.34963522016632
1978-01-04,-9.36267056830428
1978-01-11,3.96326800886724
1978-01-18,-14.4278949513774
1978-01-25,-14.1780512091701
1978-02-01,-8.24447843763563
1978-02-08,-0.155830944053378
1978-02-15,8.7807924948535
1978-02-22,3.38284729562026
1978-03-01,-1.53184037771284
1978-03-08,-1.6105381972877
1978-03-15,-3.33794318673692
1978-03-22,NA
1978-03-29,NA
1978-04-05,NA
1978-04-12,NA
1978-04-19,NA
1978-04-26,NA
1978-05-03,NA
1978-05-10,NA
1978-05-17,NA
1978-05-24,NA
